PSi,Scenario 1 [TKT],Scenario 2 [VB],Scenario 3 [TB],Scenario 4 [VKT],Link
PS1,N-S,YCO-O,ROO-SO,ERO-S,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=side-self&friction1=null&side2=side-other&friction2=YCO&side3=both&friction3=ROO&side4=side-self&friction4=ERO
PS2,YCO-S,ROO-O,ERO-SO,N-S,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=side-self&friction1=YCO&side2=side-other&friction2=ROO&side3=both&friction3=ERO&side4=side-self&friction4=null
PS3,ROO-S,ERO-O,N-SO,YCO-S,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=side-self&friction1=ROO&side2=side-other&friction2=ERO&side3=both&friction3=null&side4=side-self&friction4=YCO
PS4,ERO-S,N-O,YCO-SO,ROO-S,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=side-self&friction1=ERO&side2=side-other&friction2=null&side3=both&friction3=YCO&side4=side-self&friction4=ROO
PS5,N-O,YCO-SO,ROO-S,ERO-O,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=side-other&friction1=null&side2=both&friction2=YCO&side3=side-self&friction3=ROO&side4=side-other&friction4=ERO
PS6,YCO-O,ROO-SO,ERO-S,N-O,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=side-other&friction1=YCO&side2=both&friction2=ROO&side3=side-self&friction3=ERO&side4=side-other&friction4=null
PS7,ROO-O,ERO-SO,N-S,YCO-O,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=side-other&friction1=ROO&side2=both&friction2=ERO&side3=side-self&friction3=null&side4=side-other&friction4=YCO
PS8,ERO-O,N-SO,YCO-S,ROO-O,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=side-other&friction1=ERO&side2=both&friction2=null&side3=side-self&friction3=YCO&side4=side-other&friction4=ROO
PS9,N-SO,YCO-S,ROO-O,ERO-SO,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=both&friction1=null&side2=side-self&friction2=YCO&side3=side-other&friction3=ROO&side4=both&friction4=ERO
PS10,YCO-SO,ROO-S,ERO-O,N-SO,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=both&friction1=YCO&side2=side-self&friction2=ROO&side3=side-other&friction3=ERO&side4=both&friction4=null
PS11,ROO-SO,ERO-S,N-O,YCO-SO,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=both&friction1=ROO&side2=side-self&friction2=ERO&side3=side-other&friction3=null&side4=both&friction4=YCO
PS12,ERO-SO,N-S,YCO-O,ROO-SO,https://usc.qualtrics.com/jfe/form/SV_5ANvI3dIu0fryXs?side1=both&friction1=ERO&side2=side-self&friction2=null&side3=side-other&friction3=YCO&side4=both&friction4=ROO
